countyFIPS,County Name,State,stateFIPS,8/31/2020 cases,population 2020,cases/population,high cases/population(>2.5%),Votes,Democratic,Rep Margin 2016,Republicans 2016,Democrats 2016,Green 2016,Libertarians 2016,Voter turnout,Precincts,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,White (Not Latino) Population,African American Population,Native American Population,Asian American Population,Other Race or Races,Latino Population,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,population 2016,Poverty.Rate.below.federal.poverty.threshold,Median Age,,,,,,
1001,Autauga County,AL,1,1442,55869,0.0258,1,24661,0,49.4789343,73.4357893,23.956855,0.42577349,2.18158226,0.473548784,20,14.7,85.3,21.7,7.1,78.8,30043.2137,77.55,17.7,0.4,0.75,1.35,2.2,21.15,8.75,52077,10.45,36.2,,,,,,
1003,Baldwin County,AL,1,4545,223234,0.0204,0,94090,0,57.7861622,77.351472,19.5653098,0.48145393,2.60176427,0.531188781,48,12.4,87.6,26.8,8.7,74.95,26630.5654,84.3,9.55,0.6,0.65,1.25,3.65,20.9,5.2,177131,12.05,41,,,,,,
1005,Barbour County,AL,1,757,24686,0.0307,1,10390,0,5.6111646,52.2714148,46.6602502,0.1732435,0.89509143,0.363795518,18,28.1,71.9,13.5,6,67.85,20663.4527,47.4,46.5,0.35,0.25,0.9,4.7,37.15,21.3,28560,24.85,38,,,,,,
1007,Bibb County,AL,1,554,22394,0.0247,0,8748,0,55.5441244,76.9661637,21.4220393,0.19433013,1.41746685,0.394249403,10,25.5,74.5,10,2.6,67.3,26875.0038,75.2,22.5,0.2,0.15,0.6,1.35,21.55,12.4,22189,12.25,38.3,,,,,,
1009,Blount County,AL,1,1287,57826,0.0223,0,25384,0,81.3819729,89.8518752,8.4699023,0.35061456,1.32760794,0.444841666,26,25.3,74.7,12.5,4.2,72.5,27774.1803,89.15,1.05,0.6,0.3,1.2,7.7,16.95,10.8,57063,12.2,38.3,,,,,,
1011,Bullock County,AL,1,551,10101,0.0545,1,4701,1,-50.8615188,24.2288875,75.0904063,0.2127207,0.46798553,0.430691709,17,25.3,74.7,12,3.7,69.55,20651.694,22.05,72.45,0.15,0.25,0.35,4.7,54.35,24.25,10915,28.8,38.7,,,,,,
1013,Butler County,AL,1,866,19448,0.0445,1,8685,0,13.5290731,56.3154865,42.7864134,0.14968336,0.74841681,0.422257876,24,25.2,74.8,11,3.2,74.35,22321.7711,55.4,42.25,0.25,0.7,0.8,0.65,34.2,21.25,20568,23.5,39.7,,,,,,
1015,Calhoun County,AL,1,2567,113605,0.0226,0,47376,0,41.383823,69.2396994,27.8558764,0.55302263,2.35140155,0.409225188,47,21.5,78.5,16.1,6.4,74.65,24610.4968,74.65,19.9,0.45,0.75,1.4,2.85,30.4,11.1,115770,18.5,38.1,,,,,,
1017,Chambers County,AL,1,1033,33254,0.0311,1,13778,0,14.8062128,56.633764,41.8275512,0.31934969,1.21933517,0.399837488,23,28.2,71.8,10.8,3.7,73.85,23437.6803,58.95,37.95,0.2,0.35,1.05,1.45,31.85,14.5,34459,18.15,40.1,,,,,,
1019,Cherokee County,AL,1,405,26196,0.0155,0,10503,0,69.3611349,83.8712749,14.51014,0.23802723,1.38055794,0.416653443,25,26.6,73.4,10.5,4.2,68.8,26915.9035,92,5.1,0.55,0.15,1,1.2,20.7,10.45,25208,16.1,43.9,,,,,,
1021,Chilton County,AL,1,1194,44428,0.0269,1,18255,0,66.6064092,82.5417694,15.9353602,0.28485346,1.23801698,0.424959844,20,24.1,75.9,12.2,4.8,69.25,26935.6041,82.15,10,0.3,0.2,1.1,6.25,27.15,11.95,42957,17.8,37.2,,,,,,
1023,Choctaw County,AL,1,326,12589,0.0259,1,7268,0,13.6626307,56.4391855,42.7765548,0.08255366,0.70170611,0.517516377,34,28.9,71.1,10.9,4.1,78.8,22625.5768,55.25,43.35,0.05,0.1,0.65,0.55,21.95,20.6,14044,20.75,43.2,,,,,,
1025,Clarke County,AL,1,992,23622,0.0420,1,12936,0,10.7993197,54.9551639,44.1558442,0.1314162,0.75757576,0.494968433,31,23.9,76.1,13.5,4.9,75.6,25995.8473,54.4,42.65,0.9,0.65,0.7,0.75,31.45,24.15,26135,27.65,38.9,,,,,,
1027,Clay County,AL,1,373,13235,0.0282,1,6572,0,60.8034084,79.5800365,18.7766281,0.24345709,1.39987827,0.474512635,17,28.6,71.4,9.5,3.1,73.95,27404.5222,80.35,14.55,0.35,0.1,1.95,2.8,28.85,16,13850,18.25,41.3,,,,,,
1029,Cleburne County,AL,1,206,14910,0.0138,0,6532,0,77.3729333,87.8444581,10.4715248,0.30618494,1.37783221,0.442098139,16,29.7,70.3,8.4,3.7,71.1,21506.5695,92.7,4.35,0.35,0.1,1,1.55,15.7,15.05,14775,16.75,40.1,,,,,,
1031,Coffee County,AL,1,1087,52342,0.0208,0,20513,0,56.7006289,77.1462,20.4455711,0.49724565,1.91098328,0.424041344,31,20.7,79.3,22.1,8.5,71.15,26346.66,73.3,17.25,0.95,1.15,2.1,5.25,26.6,13.4,48375,16.65,37.9,,,,,,
1033,Colbert County,AL,1,1466,55241,0.0265,1,24626,0,38.2603752,67.8875985,29.6272233,0.43043937,2.05473889,0.451961018,37,19.9,80.1,16.4,5.9,74.75,25896.2711,80,16,0.5,0.4,1.35,1.8,28.7,9.2,54487,14.85,41.6,,,,,,
1035,Conecuh County,AL,1,485,12067,0.0402,1,6543,0,5.2575271,52.1626165,46.9050894,0.15283509,0.77945896,0.496773214,29,28.7,71.3,9.7,4.3,73.5,22600.3835,52.7,45.3,0.45,0.05,0.75,0.7,50.25,19.95,13171,29.8,43.4,,,,,,
1037,Coosa County,AL,1,135,10663,0.0127,0,5223,0,30.5571511,64.6371817,34.0800306,0.26804518,1.01474249,0.468094641,14,26.9,73.1,10.6,4.8,70.05,23083.6273,66.1,31.65,0.15,0.05,0.9,1.05,30.1,17.25,11158,18.05,43.8,,,,,,
1039,Covington County,AL,1,1096,37049,0.0296,1,15818,0,68.5484891,83.5883171,15.039828,0.22758882,1.14426603,0.424918068,27,23.5,76.5,13.1,4.8,73.6,21645.9794,84.25,12.45,0.55,0.4,1.15,1.2,34.95,12.45,37226,18.55,42.1,,,,,,
1041,Crenshaw County,AL,1,472,13772,0.0343,1,6252,0,45.5534229,72.1529111,26.5994882,0.22392834,1.02367242,0.453174833,20,26.3,73.7,10.1,3.9,78.6,22051.827,72.25,22.5,0.5,2.2,1.3,1.3,32.15,17.6,13796,19.8,39.5,,,,,,
1043,Cullman County,AL,1,1644,83768,0.0196,0,37278,0,77.8046033,87.8105049,10.0059016,0.35409625,1.82949729,0.462977222,51,23.1,76.9,13.8,5.4,74,24292.587,92.9,1.1,0.45,0.35,1.05,4.1,24.45,13.45,80518,16.65,39.5,,,,,,
1045,Dale County,AL,1,1103,49172,0.0224,0,18617,0,50.4377719,74.1150561,23.6772842,0.33302895,1.87463071,0.378071565,21,17.8,82.2,17.5,5.6,67.75,25547.5203,71.45,19.55,0.55,1.2,2.4,4.85,16.9,10.85,49242,14.5,35.8,,,,,,
1047,Dallas County,AL,1,1615,37196,0.0434,1,18730,1,-37.5974372,30.8809397,68.4783769,0.12813668,0.51254672,0.432723408,31,23.2,76.8,14.3,6,76.6,21582.3803,30.3,67.95,0.2,0.35,0.45,0.75,53.35,26.85,43284,31.9,36.8,,,,,,
1049,DeKalb County,AL,1,2152,71513,0.0301,1,26086,0,69.374377,83.4892279,14.1148509,0.59802193,1.79789926,0.374551302,53,31.9,68.1,10.9,4.7,70.8,22197.7949,83.5,1.45,1.05,0.25,1.6,12.05,37.8,17.05,69646,20.45,37,,,,,,
1051,Elmore County,AL,1,2195,81209,0.0270,1,36905,0,51.9794066,74.8380978,22.8586912,0.30348191,1.99972903,0.473092503,30,16.2,83.8,20.2,6.9,72.9,28575.6029,74.85,20.65,0.35,0.55,1.35,2.25,18.3,10.2,78008,12.75,37.3,,,,,,
1053,Escambia County,AL,1,1404,36633,0.0383,1,15213,0,36.7054493,67.5869322,30.8814829,0.24978637,1.28179846,0.400975224,31,27,73,10.9,3.6,71.25,22205.5959,61.8,31.55,3.45,0.3,1.15,1.65,43.45,15.15,37940,23.6,38.3,,,,,,
1055,Etowah County,AL,1,2806,102268,0.0274,1,43474,0,50.1035102,73.9108433,23.8073331,0.37493674,1.90688687,0.418865016,35,18.8,81.2,15.8,5.9,73.15,25186.6616,80,14.7,0.3,0.55,1.3,3.1,31,11.65,103790,16.55,40,,,,,,
1057,Fayette County,AL,1,315,16302,0.0193,0,8196,0,65.239141,81.8081991,16.5690581,0.29282577,1.32991703,0.469792503,29,25.3,74.7,9.5,3.7,74.5,23459.0254,85.65,11.35,0.2,0.15,1.45,1.15,16.65,14.55,17446,17,42.4,,,,,,
1059,Franklin County,AL,1,1565,31362,0.0499,1,11955,0,60.8030113,79.1802593,18.377248,0.45169385,1.99079883,0.382254197,26,30.4,69.6,11.8,4.2,68.9,21582.9702,80.3,3.8,0.45,0.2,1.15,14.15,25.85,13.6,31275,18.95,38.5,,,,,,
1061,Geneva County,AL,1,438,26271,0.0167,0,11659,0,72.4333133,85.4876061,13.0542928,0.19727249,1.26082854,0.44339228,27,27.7,72.3,8,2.9,70,20403.6714,84.95,9.85,0.5,0.25,1.4,2.95,26.1,11.1,26295,16.2,42.2,,,,,,
1063,Greene County,AL,1,285,8111,0.0351,1,4862,1,-65.158371,17.2357055,82.3940765,0.10283834,0.26737968,0.535580524,16,27.4,72.6,9.9,4.7,79.85,20350.6019,18.7,79.95,0.1,0.15,0.35,0.8,52.65,22.2,9078,31,41.9,,,,,,
1065,Hale County,AL,1,559,14651,0.0382,1,8010,1,-19.9750312,39.6004994,59.5755306,0.14981273,0.6741573,0.474610417,16,30.1,69.9,10,4.1,73.35,20564.3054,39.85,58.75,0.1,0.25,0.35,0.65,40.35,20.95,16877,25.15,39.1,,,,,,
1067,Henry County,AL,1,376,17205,0.0219,0,8017,0,41.6240489,70.1384558,28.5144069,0.2120494,1.13508794,0.473230624,15,23.9,76.1,15,6.2,73.6,24738.474,66.9,29.35,0.15,0.7,0.6,2.3,14.85,16.05,16941,15.35,42.4,,,,,,
1069,Houston County,AL,1,2061,105882,0.0195,0,42030,0,47.6326433,72.7266238,25.0939805,0.34261242,1.83678325,0.423181869,29,18.1,81.9,19,6.8,73.1,25514.1711,69.55,25.4,0.4,0.85,1.35,2.45,30.7,11.55,99319,16.4,38,,,,,,
1071,Jackson County,AL,1,1318,51626,0.0255,1,20785,0,62.4488814,80.0721674,17.623286,0.43300457,1.87154198,0.391711583,39,26,74,12,4.6,74.25,24166.6917,90.2,3.4,1.35,0.25,2.65,2.15,25.55,14.9,53062,17.6,41.4,,,,,,
1073,Jefferson County,AL,1,16426,658573,0.0249,0,290111,1,-7.2272337,45.0220778,52.2493115,0.52014574,2.20846504,0.439336462,363,13.4,86.6,28.8,10.7,76.95,29249.713,52.8,41.2,0.2,1.4,1,3.5,24.7,10.6,660339,15.35,37,,,,,,
1075,Lamar County,AL,1,291,13805,0.0211,0,6931,0,69.023229,83.9561391,14.9329101,0.21641899,0.89453181,0.477967037,27,24.7,75.3,9.2,3.3,72.15,22183.9711,85.8,11.6,0.2,0,0.7,1.6,21.15,17.35,14501,17.8,42.2,,,,,,
1077,Lauderdale County,AL,1,1437,92729,0.0155,0,38813,0,46.0103573,71.4580166,25.4476593,0.5668204,2.52750367,0.428262477,33,17.1,82.9,21.5,7.9,76.5,23675.6041,86.1,9.95,0.25,0.55,1.15,1.9,33.05,9.15,90629,17.85,39.7,,,,,,
1079,Lawrence County,AL,1,476,32924,0.0145,0,14623,0,48.6972578,73.391233,24.6939752,0.2119948,1.70279696,0.427373159,31,24.8,75.2,10.7,3.3,72,26349.214,77.2,11.75,5.1,0.15,4.05,1.7,16.95,11.65,34216,13,40.2,,,,,,
1081,Lee County,AL,1,4564,164542,0.0277,1,57668,0,23.1220087,59.5148089,36.3928002,0.62773115,3.46465978,0.425726055,25,14.8,85.2,30.9,13.4,82.1,20755.0594,70.6,22.85,0.25,2.3,1.4,2.65,24.05,9.55,135458,19.7,28.8,,,,,,
1083,Limestone County,AL,1,1687,98915,0.0171,0,39400,0,49.4517766,73.1573604,23.7055838,0.50761421,2.62944162,0.502365197,27,19.6,80.4,20.8,6.3,73.55,27180.9556,79.7,12.75,0.55,0.9,1.3,4.8,24.4,11.25,78429,13.15,38.5,,,,,,
1085,Lowndes County,AL,1,619,9726,0.0636,1,6676,1,-46.8993409,26.2282804,73.1276213,0.16476932,0.47932894,0.557960719,14,26.6,73.4,12.7,3.7,72.35,21425.4733,26.6,71.95,0.25,0.05,0.55,0.5,50.25,17.65,11965,26.55,39.7,,,,,,
1087,Macon County,AL,1,435,18068,0.0241,0,8748,1,-66.7924097,15.9350709,82.7274806,0.54869684,0.78875171,0.399853734,16,21.2,78.8,20.9,10.2,85.85,16393.881,15.25,82.2,0.2,0.2,1.35,0.8,40.85,20.05,21878,27.7,35.8,,,,,,
1089,Madison County,AL,1,6473,372909,0.0174,0,159473,0,16.7827783,55.9336063,39.150828,0.78257762,4.13298803,0.491549769,74,12.2,87.8,37.4,13.5,79.15,30273.5638,67.4,23.55,0.55,2.35,2.35,3.7,20.65,6.85,324429,11.65,37.1,,,,,,
1091,Marengo County,AL,1,639,18863,0.0339,1,10948,1,-3.4983559,47.7164779,51.2148338,0.11874315,0.9499452,0.518420305,24,20.3,79.7,17.9,5.6,76.6,21394.0216,46,52.15,0.1,0.15,0.6,1.05,33.9,17.55,21118,24.7,40.1,,,,,,
1093,Marion County,AL,1,791,29709,0.0266,1,12912,0,76.2159232,87.3063817,11.0904585,0.20136307,1.40179678,0.429041369,22,29,71,8.8,3.8,72.4,22516.653,92.7,3.75,0.3,0.15,1.1,1.95,32.45,14.25,30095,18,42,,,,,,
1095,Marshall County,AL,1,3622,96774,0.0374,1,34965,0,69.5095095,83.5607036,14.0511941,0.45188045,1.93622194,0.386473163,32,26.3,73.7,14.5,5.4,70.55,23918.094,84.75,1.5,0.55,0.5,1.3,11.35,36.5,13.3,90472,20.1,38,,,,,,
1097,Mobile County,AL,1,12259,413210,0.0297,1,163387,0,13.8676884,55.7492334,41.881545,0.4639292,1.90529234,0.399322027,186,17.7,82.3,19.8,6.7,76.3,25380.2914,59.8,34.3,0.7,1.85,1.25,2.1,34.25,12.95,409161,19.15,36.3,,,,,,
1099,Monroe County,AL,1,545,20733,0.0263,1,10185,0,14.3446245,56.6617575,42.317133,0.15709377,0.86401571,0.444197305,31,24.6,75.4,11.2,3.1,74.3,23987.5565,55.65,40.8,1.15,0.3,1.35,0.75,42.65,20.45,22929,25.2,39.7,,,,,,
1101,Montgomery County,AL,1,7992,226486,0.0353,1,94572,1,-26.1610202,35.8753119,62.0363321,0.51706636,1.5712896,0.416862818,130,15.3,84.7,30.5,12.3,76.15,26278.6492,40.55,53.6,0.2,1.75,1.1,2.75,33.65,11.15,226866,18.35,34.6,,,,,,
1103,Morgan County,AL,1,2910,119679,0.0243,0,49991,0,52.361425,74.7974635,22.4360385,0.43607849,2.33041948,0.42602456,42,19.2,80.8,19.1,6,74.2,25015.0464,78.7,11.6,0.8,0.65,1.6,6.75,26.7,12.1,117343,15.2,38.5,,,,,,
