question_id,poll_id,state,politician_id,politician,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,start_date,end_date,sponsor_candidate,tracking,created_at,notes,url,source,yes,no
77265,49253,,11,Donald Trump,169,Gallup,,,Gallup,112,Gallup,B,1500,a,a,Live Phone,1/20/17,1/22/17,,TRUE,2/6/17 17:42,,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,538 | Huffpost,45,45
77274,49262,,11,Donald Trump,169,Gallup,,,Gallup,112,Gallup,B,1500,a,a,Live Phone,1/21/17,1/23/17,,TRUE,2/6/17 17:48,,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,538 | Huffpost,45,46
77248,49236,,11,Donald Trump,169,Gallup,,,Gallup,112,Gallup,B,1500,a,a,Live Phone,1/22/17,1/24/17,,TRUE,2/6/17 17:40,,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,538 | Huffpost,46,45
77599,49426,,11,Donald Trump,744,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,1632,a,a,Online,1/20/17,1/24/17,,TRUE,3/1/17 17:53,,http://polling.reuters.com/#poll/CP3_2/,Huffpost | Reuters,42.1,45.2
77257,49245,,11,Donald Trump,169,Gallup,,,Gallup,112,Gallup,B,1500,a,a,Live Phone,1/23/17,1/25/17,,TRUE,2/6/17 17:42,,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,538 | Huffpost,46,45
77266,49254,,11,Donald Trump,568,YouGov,352,Economist,YouGov,391,YouGov,B,2692,a,a,Online,1/23/17,1/25/17,,,2/6/17 17:44,,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/31rwbl7mh1/econToplines.pdf,Huffpost,41,35
77598,49425,,11,Donald Trump,744,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,1651,a,a,Online,1/21/17,1/25/17,,TRUE,3/1/17 17:53,,http://polling.reuters.com/#poll/CP3_2/,Reuters,42.3,45.8
77254,49242,,11,Donald Trump,169,Gallup,,,Gallup,112,Gallup,B,1500,a,a,Live Phone,1/24/17,1/26/17,,TRUE,2/6/17 17:42,,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,538 | Huffpost,45,48
77597,49424,,11,Donald Trump,744,Ipsos,71,Reuters,Ipsos,154,Ipsos,B-,1678,a,a,Online,1/22/17,1/26/17,,TRUE,3/1/17 17:53,,http://polling.reuters.com/#poll/CP3_2/,Reuters,42.6,46.4
77269,49257,,11,Donald Trump,169,Gallup,,,Gallup,112,Gallup,B,1500,a,a,Live Phone,1/25/17,1/27/17,,TRUE,2/6/17 17:44,,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,538 | Huffpost,42,50
